Date,Close*
2023-02-17,"4,079.09"
2023-02-16,"4,090.41"
2023-02-15,"4,147.60"
2023-02-14,"4,136.13"
2023-02-13,"4,137.29"
2023-02-10,"4,090.46"
2023-02-09,"4,081.50"
2023-02-08,"4,117.86"
2023-02-07,"4,164.00"
2023-02-06,"4,111.08"
2023-02-03,"4,136.48"
2023-02-02,"4,179.76"
2023-02-01,"4,119.21"
2023-01-31,"4,076.60"
2023-01-30,"4,017.77"
2023-01-27,"4,070.56"
2023-01-26,"4,060.43"
2023-01-25,"4,016.22"
2023-01-24,"4,016.95"
2023-01-23,"4,019.81"
2023-01-20,"3,972.61"
2023-01-19,"3,898.85"
2023-01-18,"3,928.86"
2023-01-17,"3,990.97"
2023-01-13,"3,999.09"
2023-01-12,"3,983.17"
2023-01-11,"3,969.61"
2023-01-10,"3,919.25"
2023-01-09,"3,892.09"
2023-01-06,"3,895.08"
2023-01-05,"3,808.10"
2023-01-04,"3,852.97"
2023-01-03,"3,824.14"
2022-12-30,"3,839.50"
2022-12-29,"3,849.28"
2022-12-28,"3,783.22"
2022-12-27,"3,829.25"
2022-12-23,"3,844.82"
2022-12-22,"3,822.39"
2022-12-21,"3,878.44"
2022-12-20,"3,821.62"
2022-12-19,"3,817.66"
2022-12-16,"3,852.36"
2022-12-15,"3,895.75"
2022-12-14,"3,995.32"
2022-12-13,"4,019.65"
2022-12-12,"3,990.56"
2022-12-09,"3,934.38"
2022-12-08,"3,963.51"
2022-12-07,"3,933.92"
2022-12-06,"3,941.26"
2022-12-05,"3,998.84"
2022-12-02,"4,071.70"
2022-12-01,"4,076.57"
2022-11-30,"4,080.11"
2022-11-29,"3,957.63"
2022-11-28,"3,963.94"
2022-11-25,"4,026.12"
2022-11-23,"4,027.26"
2022-11-22,"4,003.58"
2022-11-21,"3,949.94"
2022-11-18,"3,965.34"
